code, municipality_code, district_code, province_code, year
1300,YEG,NNN,AB,2014
1301,YEG,NNN,AB,2014
1302,YEG,NNN,AB,2014
1304,YEG,NNN,AB,2014
1305,YEG,NNN,AB,2014
1306,YEG,NNN,AB,2014
1307,YEG,NNN,AB,2014
